"","baseMean","log2FoldChange","lfcSE","stat","pvalue"
"1/2-SBSRNA4",53.9852047965443,-0.00169797594294328,0.114504864326944,-0.0148288542405943,0.988168719755023
"A1BG",487.778126831504,0.260057726824212,0.191433686401391,1.35847421481992,0.174313259090498
"A1BG-AS1",44.4800712918765,0.169100146229502,0.1512162357157,1.1182671320256,0.263452920168744
"A1CF",2.01783766943809,0.13925479379512,0.196476690184407,0.708759872045991,0.478473503496848
"A2LD1",237.717793239898,-0.138791887288185,0.149799141055521,-0.926519914000998,0.354175852955845
"A2M",46898.7533822833,-0.249715139020993,0.141179058346223,-1.76878314635447,0.0769300703695132
"A2ML1",238.770554155163,-0.114583231459926,0.24092210275072,-0.475602819964111,0.634357365995391
"A2MP1",5.6156309264188,-0.460540140433871,0.196549075551125,-2.34313053440986,0.0191226913951106
"A4GALT",247.382814759789,0.0876543277824731,0.16468944560525,0.532240104764058,0.594559709683984
"A4GNT",3.04408237622602,0.113365205968971,0.228827679000872,0.495417365870933,0.620305538908095
"AA06",0.162001250476506,0.0901700190899524,0.959663910374255,0.0939599979901165,0.925140933085
"AAA1",5.89956890981257,0.229356322863271,0.253955570682476,0.903135624262554,0.366453919046433
"AAAS",2081.42954827396,0.0592485168109793,0.0607795989400264,0.974809275550538,0.329654875226344
"AACS",990.593225398709,0.258326466790695,0.0672739310897411,3.8399193061291,0.000123074756921983
"AACSP1",2.65756334748926,0.42610128276893,0.246519032721255,1.72847215107619,0.08390360970302
"AADAC",1.07141226658731,-0.109214506940548,0.386373653127836,-0.282665513179836,0.777433255005763
"AADACL2",0.278753918376766,-0.145538303114713,0.421429936655514,-0.345344007285556,0.729835766294838
"AADACL3",0.729004438227832,0.123266717975397,0.315815029735501,0.390313019866831,0.696305096838666
"AADACL4",0.306023654841603,0.226412627770192,0.44264709626503,0.511496923125933,0.609003142369429
"AADAT",473.52292378229,-0.0946973333250215,0.0894946724749266,-1.05813374926371,0.28999446991364
"AAGAB",2064.48532854929,-0.0715183743652888,0.0623811756047114,-1.14647365446392,0.251599222090631
"AAK1",1633.84692930006,0.0826532374013503,0.0914903663189114,0.903409186419068,0.366308766245514
"AAMP",5259.18128683331,0.0378188203669363,0.0452097062565216,0.836519931192448,0.402862468834133
"AANAT",35.3994562013719,0.0580720924333961,0.161057010384904,0.360568548333362,0.71842200459253
"AARS",8476.37414999855,-0.109625257271557,0.0633703078951666,-1.72991517498874,0.0836454316208115
"AARS2",985.693256295798,0.011000393370882,0.0947258977502556,0.116128678979475,0.907550560038279
